Nama,ID
Perguruan Santo Bellarminus (Jakarta),45
Pendidikan Santo Bellarminus (Bekasi),38
Pendidikan Bakti Harapan Bangsa,32
Sekolah Cahaya Harapan,59
Pendidikan Handayani Bekasi Jaya,35
Keluarga Bunda,22
Marsudirini,24
Pamardi Yuwana Bhakti,28
Santa Lusia Virgini,52
Fajar Baru,16
Kolese Santo Yusup,23
Stella Maris Utama,62
Adikara Niat,3
Asti Dharma,6
Abdi Siswa,1
Seraphine Bakti Utama,60
"Bunda Hati Kudus (Tarsisius,Damai,Vianney)",12
Diannanda,14
Karya Sang Timur Pusat,20
Karya Kasih,19
Notre Dame Jakarta,27
Santo Leo,55
Tri Asih,66
Joseph Sang Pekerja,18
Ricci,50
Tunas Muda,68
Ananta Bhakti,5
Budi Siswa,11
Budi Mulia Lourdes,10
Bina Tehnik,8
Melania Jakarta,25
Nitya Bhakti,26
Penyelenggaraan Ilahi Indonesia,43
Paskalis,31
Perhimpunan Vincentius Jakarta,46
Perkumpulan Strada,48
Santo Fransiskus,53
Satya Bhakti,58
Tarakanita,65
Tanimbar Lestari,64
Adi Bhakti,2
Dwi Bakti Jakarta,15
Gembala Baik,17
Pendidikan Ignatius Slamet Riyadi,36
Widia Dharma Mardiwijana,70
Panca Dharma,29
Perguruan Budhaya,44
Pendidikan Katolik Leo Dehon,37
Santo Markus,56
Pendidikan Santo Yoseph Jaya,41
Bintang Timur,9
Persekolahan Bina Wirawan,49
Berkat Prima,7
Sancta Ursula BSD,51
Pendidikan Santo Yohanes,40
Tunas Manunggal,67
Pendidikan Fioretti,34
Kasih Abadi,21
Perkumpulan Dharma Putri,47
Citra Kasih Sejahtera,13
Amkur Jakarta,4
Suaka Insan Suster-Suster Santo Paulus Dari Chartres,63
Stella Maris Teluk Gong,61
Pendidikan Umum Santo Lukas,42
Pendidikan Santo Lukas Penginjil,39
Santo Yakobus,57
Pendidikan Charitas,33
Santo Fransiskus Asisi,54
Pangudi Luhur,30
Wacana Bhakti,69
