Yayasan,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi
45,  20104814,SD Santo Bellarminus,SD,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
45,  20106433,SMP Santo Bellarminus,SMP,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
45,  20108507,SMA St Bellarminus,SMA,Kec. Menteng,Kota Adm. Jakarta Pusat,Prov. D.K.I. Jakarta
38,  20266251,TK Santo Bellarminus,TK,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat
38,,SD Santo Bellarminus,SD,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat
38,,SMP Santo Bellarminus,SMP,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat
38,,SMA Santo Bellarminus,SMA,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat
32,  20268582,John Paul`S Primary School,SPK SD,Kec. Taruma Jaya,Kab. Bekasi,Prov. Jawa Barat
32,  20268583,John Paul`S Junior High School,SPK SMP,Kec. Taruma Jaya,Kab. Bekasi,Prov. Jawa Barat
32,  60724764,TK John Pauls School,TK,Kec. Taruma Jaya,Kab. Bekasi,Prov. Jawa Barat
32,  69775473,John Paul`S Senior High School,SPK SMA,Kec. Taruma Jaya,Kab. Bekasi,Prov. Jawa Barat
59,,TK Cahaya Harapan,TK,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat
59,  20223665,SD Cahaya Harapan,SD,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat
59,  20231650,SMP Cahaya Harapan,SMP,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat
35,  20222910,SMP Santa Maria Monica,SMP,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat
35,  20223031,SMAS Santa Maria Monica,SMA,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat
35,  20231623,SD Santa Maria Monica,SD,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat
35,  20266249,TK Santa Maria Monica,TK,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat
35,  69819419,SMK Santa Maria Monica,SMK,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat
22,,TK Maria Yacintha,TK,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat
22,,SD Maria Fransiska,SD,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat
22,  20222906,SMP Pax Ecclesia,SMP,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat
22,  20231722,SMAS Pax Patriae,SMA,Kec. Bekasi Selatan,Kota Bekasi,Prov. Jawa Barat
24,20109630,TK Cor Jesu Marsudirini,TK,Kec. Matraman,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
24,20108324,SDS Marsudirini I,SD,Kec. Matraman,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
24,20107110,SMP Marsudirini,SMP,Kec. Kramat Jati,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
24,20103219,SMAS Fons Vitae 1 Jakarta,SMA,Kec. Matraman,Kota Adm. Jakarta Timur,Prov. D.K.I. Jakarta
24,20110711,TK Kuntum Keluarga Mulia,TK,Kec. Koja,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
24,20109343,SDS Tunas Keluarga Mulia,SD,Kec. Koja,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
24,20106547,SMP Keluarga Kusuma Marsudirini,SMP,Kec. Koja,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
24,20100614,SMAS Fons Vitae 2 Jakarta,SMA,Kec. Koja,Kota Adm. Jakarta Utara,Prov. D.K.I. Jakarta
24,69794677,KB Marsudirini,KB,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
24,20266143,TK Marsudirini,TK,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
24,20231594,SD Marsudirini,SD,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
24,69987583,SD Marsudirini Ii,SD,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
24,20231679,SMP Marsudirini,SMP,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
24,20223075,SMAS Marsudirini,SMA,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
28,,TK Pamardi Yuwana Bhakti,TK,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat
28,  20223634,SD Pamardi Yuwana Bhakti,SD,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat
28,  20231690,SMP Pamardi Yuwana Bhakti,SMP,Kec. Pondokgede,Kota Bekasi,Prov. Jawa Barat
52,20266248,TK Santa Lusia,TK,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
52,69872301,SD Santa Lusia,SD,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
52,20231697,SMP Santa Lusia,SMP,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
52,69950694,SMA Santa Lusia Bekasi,SMA,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
52,69760842,SMKS Pariwisata Paramitha,SMK,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
52,20258230,SLB-C Santa Lusia,SLB,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat
16,  70002509,TK Mgr Gabriel Manek I,TK,Kec. Cikarang Barat,Kab. Bekasi,Prov. Jawa Barat
16,  70002471,SD Mgr Gabriel Manek,SD,Kec. Cikarang Barat,Kab. Bekasi,Prov. Jawa Barat
16,,SMP Mgr Gabriel Manek,SMP,Kec. Cikarang Barat,Kab. Bekasi,Prov. Jawa Barat
23,,TK Santo Yusup,TK, Kec. Taruma Jaya,Kab. Bekasi,Prov. Jawa Barat
23,,SD Santo Yusup,SD, Kec. Taruma Jaya,Kab. Bekasi,Prov. Jawa Barat
23,,SMP Santo Yusup,SMP, Kec. Taruma Jaya,Kab. Bekasi,Prov. Jawa Barat
62,  69881172,TK Flora,TK,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat
62,  20231571,SD Flora 1,SD,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat
62,  20231572,SD Flora 2,SD,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat
62,  20231655,SMP Flora,SMP,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat
62,  20231709,SMAS Flora,SMA,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat
62,  20268251,SMKS Flora,SMK,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat
3,  20111228,TK Regina Pacis,TK,Kec. Palmerah,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
3,  20105749,SDS Regina Pacis,SD,Kec. Palmerah,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
3,  20106866,SMP Regina Pacis,SMP,Kec. Palmerah,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
3,  20101301,SMAS Regina Pacis,SMA,Kec. Palmerah,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
6,  20110927,TK Bunda Hati Kudus,TK,Kec. Grogol Petamburan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
6,  20105642,SD Bunda Hati Kudus,SD,Kec. Grogol Petamburan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
6,  20109239,SMP Bunda Hati Kudus,SMP,Kec. Grogol Petamburan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
6,  20101332,SMAS Bunda Hati Kudus,SMA,Kec. Grogol Petamburan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
